Empresa,Tickers (Exemplos),Data do Evento,Tipo de Evento,Resumo do Evento
Lojas Americanas,"LAMEA4, AMER",jan./2023,Default Real (RJ),Fraude contábil de R$ 40 bilhões deflagrando a crise de crédito.
Grupo Petrópolis,Emissões fechadas,mar./2023,Default Real (RJ),"Crise de liquidez e R$ 4,2 bilhões em dívidas, afetando fundos."
Oi S.A.,Emissões da holding,mar./2023,Default Real (RJ),Segundo pedido de RJ para renegociar R$ 43 bilhões.
Light S.A.,"LSVE29, LIGHB6",mai./2023,Default Real (RJ),Suspensão de pagamentos por alavancagem e crise de concessão.
SouthRock Capital,CRAs e Debêntures,nov./2023,Default Real (RJ),Operadora da Starbucks/Subway com quase R$ 2 bi em dívidas.
Gol Linhas Aéreas,Séries locais,jan./2024,Default Real (Ch. 11),Chapter 11 nos EUA acionando cross-default no Brasil.
Coteminas,CTNM,mai./2024,Default Real (RJ),Bloqueio de contas por credores levou a indústria têxtil à RJ.
AgroGalaxy,AGXY23 e outras,set./2024,Default Real (RJ),Crise no agronegócio gerando calote imediato em CRAs e debêntures.
Marisa,AMAR,mai./2023,Renegociação,Atraso no curtíssimo prazo forçou reestruturação de R$ 800 milhões.
Tok&Stok,Emissões privadas,jun./2023,Renegociação / Waiver,Quebra de covenants e reestruturação privada de R$ 350 milhões.
CVC Corp,CVCB,jun./2023,Reperfilamento,Acordo para alongar prazos e afrouxar covenants de R$ 900 milhões.
Azul,AZUL,jul./2023,Reperfilamento,Troca amigável de debêntures e bonds para alongar pagamentos.
Madero,MDRO,Fim de 2023,Reestruturação Privada,Alongamento de dívidas bilionárias curtas após IPO frustrado.
Multi / Multilaser,MLAS,2023 / 2024,Renegociação / Waiver,Excesso de estoque rompeu covenants; negociou perdão com bancos.
Dasa,DASA,2023 / 2024,Waivers / Reperfilamento,Pedidos sucessivos de perdão e venda de ativos para reduzir alavancagem.
Infracommerce,IFCM,2024,Renegociação,Crise de liquidez forçou repactuação de R$ 500 milhões com bancos.
Unigel,UNIG,fev./2024,Recup. Extrajudicial,"Reestruturação de R$ 3,9 bi devido à queda nos preços de fertilizantes."
Grupo Casas Bahia,CBHA,fev./2024,Recup. Extrajudicial,"Alongamento de prazos para R$ 4,1 bi em meio a queima de caixa."
Sequoia Logística,SEQL,fev./2024,Recup. Extrajudicial,Conversão forçada de debêntures em ações com forte desconto (haircut).
Pão de Açúcar (GPA),PCAR,mar./2026,Recup. Extrajudicial,"Déficit de caixa forçou reperfilamento de R$ 4,57 bi, alongando prazos e garantindo carência."
